merged_person_id,first_abs,last_abs,first_ts,frames,age_mode,gender_mode
273,2025-08-16 12:40:57.480,2025-08-16 12:40:57.480,00:59:57.480,1,34,Male
274,2025-08-16 12:41:00.279,2025-08-16 12:41:02.146,01:00:00.280,3,28,Female
275,2025-08-16 12:41:06.813,2025-08-16 12:41:06.813,01:00:06.813,1,30,Male
276,2025-08-16 12:41:46.011,2025-08-16 12:41:46.011,01:00:46.012,1,38,Male
277,2025-08-16 12:43:35.208,2025-08-16 12:43:35.208,01:02:35.208,1,25,Female
278,2025-08-16 12:43:57.607,2025-08-16 12:43:57.607,01:02:57.607,1,0,
279,2025-08-16 12:45:18.804,2025-08-16 12:45:18.804,01:04:18.805,1,30,Female
280,2025-08-16 12:45:28.604,2025-08-16 12:45:29.937,01:04:28.604,16,0,
281,2025-08-16 12:45:28.870,2025-08-16 12:45:32.804,01:04:28.871,60,33,Male
282,2025-08-16 12:45:31.204,2025-08-16 12:45:35.937,01:04:31.204,36,0,
283,2025-08-16 12:45:32.070,2025-08-16 12:46:15.936,01:04:32.071,44,0,Female
284,2025-08-16 12:45:32.404,2025-08-16 12:45:32.404,01:04:32.404,1,32,Female
285,2025-08-16 12:45:56.936,2025-08-16 12:45:56.936,01:04:56.937,1,32,Female
286,2025-08-16 12:46:11.936,2025-08-16 12:46:11.936,01:05:11.936,1,34,Female
287,2025-08-16 12:46:17.936,2025-08-16 12:46:17.936,01:05:17.936,1,0,
288,2025-08-16 12:46:38.935,2025-08-16 12:46:38.935,01:05:38.935,1,29,Female
289,2025-08-16 12:46:44.135,2025-08-16 12:46:44.135,01:05:44.135,1,0,
290,2025-08-16 12:46:44.135,2025-08-16 12:46:44.135,01:05:44.135,1,0,
291,2025-08-16 12:47:31.866,2025-08-16 12:47:31.866,01:06:31.867,1,29,Male
292,2025-08-16 12:47:58.465,2025-08-16 12:55:25.584,01:06:58.466,2,26,Female
293,2025-08-16 12:48:01.732,2025-08-16 12:48:01.732,01:07:01.733,1,0,
